itemid,username,snmpv3_contextname,inventory_link,multiplier,authtype,trends,snmpv3_authpassphrase,snmp_oid,templateid,snmpv3_securitylevel,port,lastns,password,logtimefmt,mtime,delay,publickey,state,params,snmpv3_securityname,formula,type,snmpv3_authprotocol,prevvalue,status,lastlogsize,lastclock,snmp_community,description,data_type,evaltype,trapper_hosts,lastvalue,units,value_type,delta,snmpv3_privprotocol,delay_flex,interfaceid,snmpv3_privpassphrase,hostid,key_,name,privatekey,lifetime,valuemapid,flags,error,ipmi_sensor,history
23124,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,3,0,0,,0,,10076,"system.stat[memory,avm]",Active virtual pages,,30,0,0,,,7
23116,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,0,0,0,,0,,10076,"system.stat[disk,bps]",Amount of data transferred,,30,0,0,,,7
23299,,,0,0,0,365,,,17354,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,idle]",CPU $2 time,,0,0,0,,,7
23300,,,0,0,0,365,,,22671,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing hardware interrupts.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,interrupt]",CPU $2 time,,0,0,0,,,7
23301,,,0,0,0,365,,,17362,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Amount of time the CPU has been waiting for I/O to complete.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,iowait]",CPU $2 time,,0,0,0,,,7
23302,,,0,0,0,365,,,17358,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,nice]",CPU $2 time,,0,0,0,,,7
23303,,,0,0,0,365,,,22668,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing software interrupts.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,softirq]",CPU $2 time,,0,0,0,,,7
23304,,,0,0,0,365,,,22665,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,steal]",CPU $2 time,,0,0,0,,,7
23305,,,0,0,0,365,,,17360,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,system]",CPU $2 time,,0,0,0,,,7
23306,,,0,0,0,365,,,17356,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,1,,10084,"system.cpu.util[,user]",CPU $2 time,,0,0,0,,,7
22845,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,0,,10074,"system.cpu.util[,idle]",CPU $2 time,,30,0,0,,,7
22846,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing hardware interrupts.,0,0,,0,%,0,0,0,,0,,10074,"system.cpu.util[,interrupt]",CPU $2 time,,30,0,0,,,7
22848,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,0,,10074,"system.cpu.util[,nice]",CPU $2 time,,30,0,0,,,7
22851,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,0,,10074,"system.cpu.util[,system]",CPU $2 time,,30,0,0,,,7
22852,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,0,,10074,"system.cpu.util[,user]",CPU $2 time,,30,0,0,,,7
22885,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,0,,10075,"system.cpu.util[,idle]",CPU $2 time,,30,0,0,,,7
22886,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing hardware interrupts.,0,0,,0,%,0,0,0,,0,,10075,"system.cpu.util[,interrupt]",CPU $2 time,,30,0,0,,,7
22888,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,0,,10075,"system.cpu.util[,nice]",CPU $2 time,,30,0,0,,,7
