status,functions,description,state,url,type,templateid,lastchange,value,priority,triggerid,flags,comments,error,expression
0,"[{u'itemid': u'10010', u'function': u'avg', u'triggerid': u'10010', u'parameter': u'5m', u'functionid': u'13078'}]",Processor load is too high on {HOST.NAME},0,,0,0,0,0,2,10010,0,,,{13078}>5
0,"[{u'itemid': u'10013', u'function': u'avg', u'triggerid': u'10011', u'parameter': u'5m', u'functionid': u'13084'}]",Too many processes running on {HOST.NAME},0,,0,0,0,0,2,10011,0,,,{13084}>30
0,"[{u'itemid': u'17350', u'function': u'last', u'triggerid': u'10012', u'parameter': u'0', u'functionid': u'12580'}]",Lack of free swap space on {HOST.NAME},0,,0,0,0,0,2,10012,0,It probably means that the systems requires more physical memory.,,{12580}<50
0,"[{u'itemid': u'10019', u'function': u'diff', u'triggerid': u'10016', u'parameter': u'0', u'functionid': u'10199'}]",/etc/passwd has been changed on {HOST.NAME},0,,0,0,0,0,2,10016,0,,,{10199}>0
0,"[{u'itemid': u'10025', u'function': u'change', u'triggerid': u'10021', u'parameter': u'0', u'functionid': u'12583'}]",{HOST.NAME} has just been restarted,0,,0,0,0,0,1,10021,0,,,{12583}<0
0,"[{u'itemid': u'10055', u'function': u'last', u'triggerid': u'10041', u'parameter': u'0', u'functionid': u'10204'}]",Configured max number of processes is too low on {HOST.NAME},0,,0,0,0,0,1,10041,0,,,{10204}<256
0,"[{u'itemid': u'10056', u'function': u'last', u'triggerid': u'10042', u'parameter': u'0', u'functionid': u'12553'}]",Configured max number of opened files is too low on {HOST.NAME},0,,0,0,0,0,1,10042,0,,,{12553}<1024
0,"[{u'itemid': u'10057', u'function': u'diff', u'triggerid': u'10043', u'parameter': u'0', u'functionid': u'10208'}]",Hostname was changed on {HOST.NAME},0,,0,0,0,0,1,10043,0,,,{10208}>0
0,"[{u'itemid': u'10058', u'function': u'diff', u'triggerid': u'10044', u'parameter': u'0', u'functionid': u'10207'}]",Host information was changed on {HOST.NAME},0,,0,0,0,0,1,10044,0,,,{10207}>0
0,"[{u'itemid': u'10059', u'function': u'diff', u'triggerid': u'10045', u'parameter': u'0', u'functionid': u'12927'}]",Version of zabbix_agent(d) was changed on {HOST.NAME},0,,0,13026,0,0,1,10045,0,,,{12927}>0
0,"[{u'itemid': u'10020', u'function': u'nodata', u'triggerid': u'10047', u'parameter': u'5m', u'functionid': u'12550'}]",Zabbix agent on {HOST.NAME} is unreachable for 5 minutes,0,,0,13025,0,0,3,10047,0,,,{12550}=1
0,"[{u'itemid': u'10009', u'function': u'avg', u'triggerid': u'10190', u'parameter': u'5m', u'functionid': u'13082'}]",Too many processes on {HOST.NAME},0,,0,0,0,0,2,10190,0,,,{13082}>300
